log_prob_train, error_train, accuracy_train, log_prob_val, error_val, accuracy_val, log_prob_test, error_test, accuracy_test, dimensions, parameters
-181678.0,2.55773,0.416415,-181678.0,2.55772,0.416415,-44866.7,3.16771,0.2603,(300-),958744
-173823.0,1.55953,0.637805,-173823.0,1.55953,0.637805,-44241.5,3.01176,0.2894,(300- 300),1049644
-166508.0,0.929378,0.807098,-166508.0,0.929378,0.807098,-44073.9,3.20005,0.282,(300- 300- 300),1140544
-160659.0,0.556166,0.902878,-160659.0,0.556166,0.902878,-44070.6,3.48618,0.2674,(300- 300- 300- 300),1231444
-176804.0,1.87685,0.595293,-176804.0,1.87685,0.595293,-44530.5,3.05495,0.2794,(500-),1593744
-169198.0,1.13253,0.76039,-169198.0,1.13253,0.76039,-44111.2,3.05177,0.2928,(500- 300),1724644
-163990.0,0.761737,0.853122,-163990.0,0.761738,0.853122,-44033.8,3.24775,0.2839,(500- 300- 300),1815544
-157052.0,0.36394,0.943219,-157052.0,0.36394,0.943219,-43977.1,3.53922,0.27,(500- 300- 300- 300),1906444
-162138.0,0.624689,0.894732,-162138.0,0.624689,0.894732,-43959.2,3.14843,0.2898,(500- 500),1845244
-154132.0,0.216947,0.972854,-154132.0,0.216947,0.972854,-43887.1,3.51534,0.2795,(500- 500- 300),1976144
-150842.0,0.0827315,0.991244,-150842.0,0.0827316,0.991244,-43893.5,3.8759,0.2659,(500- 500- 300- 300),2067044
-151766.0,0.117568,0.987805,-151766.0,0.117568,0.987805,-43845.6,3.63139,0.2757,(500- 500- 500),2096744
-150080.0,0.052672,0.995415,-150080.0,0.052672,0.995415,-43861.4,3.83595,0.2722,(500- 500- 500- 300),2227644
-149618.0,0.0379502,0.996902,-149618.0,0.0379502,0.996902,-43861.0,3.88511,0.2708,(500- 500- 500- 500),2348244
-170998.0,1.29343,0.76,-170998.0,1.29343,0.76,-44309.9,3.01302,0.2968,(1000-),3181244
-156707.0,0.336722,0.950537,-156707.0,0.336721,0.950537,-43887.4,3.24375,0.295,(1000- 300),3412144
-156588.0,0.342493,0.946659,-156588.0,0.342493,0.946659,-43897.8,3.37836,0.2827,(1000- 300- 300),3503044
-152785.0,0.168027,0.976488,-152785.0,0.168027,0.976488,-43890.0,3.66588,0.2733,(1000- 300- 300- 300),3593944
-155989.0,0.304006,0.957707,-155989.0,0.304006,0.957707,-43864.6,3.18834,0.2977,(1000- 500),3632744
-150856.0,0.0833139,0.991024,-150856.0,0.083314,0.991024,-43840.0,3.60366,0.2755,(1000- 500- 300),3763644
-150177.0,0.0577956,0.994073,-150177.0,0.0577956,0.994073,-43838.0,3.78532,0.277,(1000- 500- 300- 300),3854544
-150136.0,0.0557723,0.994341,-150136.0,0.0557723,0.994341,-43761.8,3.66452,0.2821,(1000- 500- 500),3884244
-150035.0,0.0517489,0.994805,-150035.0,0.0517489,0.994805,-43851.9,3.75197,0.2777,(1000- 500- 500- 300),4015144
-149103.0,0.0195917,0.998293,-149103.0,0.0195917,0.998293,-43743.1,3.86311,0.2782,(1000- 500- 500- 500),4135744
-150740.0,0.0767427,0.992683,-150740.0,0.0767427,0.992683,-43739.9,3.28387,0.2994,(1000- 1000),4184244
-149350.0,0.0260819,0.997878,-149350.0,0.0260819,0.997878,-43753.9,3.5569,0.2891,(1000- 1000- 300),4415144
-149077.0,0.0169777,0.998756,-149077.0,0.0169777,0.998756,-43839.9,3.87912,0.2731,(1000- 1000- 300- 300),4506044
-148856.0,0.0108947,0.999146,-148856.0,0.0108947,0.999146,-43709.5,3.73687,0.2862,(1000- 1000- 500),4635744
-148783.0,0.00780415,0.999488,-148783.0,0.00780414,0.999488,-43762.7,3.86098,0.2788,(1000- 1000- 500- 300),4766644
-148794.0,0.00863313,0.999122,-148794.0,0.00863311,0.999122,-43778.4,3.88169,0.275,(1000- 1000- 500- 500),4887244
