log_prob_train, error_train, accuracy_train, error_test, accuracy_test, log_prob_test, dimensions, parameters
-26085.3,0.9469,91181.6,-4387.12,0.9338,15303.7,(10-),7960
-27849.2,0.9541,90633.3,-4522.85,0.9392,15224.3,(10- 10),8070
-35420.5,0.9447,91132.4,-6294.17,0.93,15321.2,(10- 10- 10),8180
-9363.18,0.97885,89275.8,-1947.34,0.9608,15041.2,(20-),15910
-13840.3,0.974883,89378.9,-2719.64,0.9581,15044.7,(20- 10),16020
-17328.1,0.968067,89742.6,-3664.64,0.9508,15119.2,(20- 10- 10),16130
-10794.2,0.976817,89269.2,-2199.73,0.9602,15020.6,(20- 20),16330
-16866.6,0.967917,89735.6,-3217.37,0.9526,15098.9,(20- 20- 10),16440
-13961.6,0.972683,89456.2,-2828.16,0.957,15055.9,(20- 20- 20),16750
-7308.07,0.982567,89026.6,-1657.57,0.9665,14985.5,(30-),23860
-7684.28,0.9839,88823.7,-1794.57,0.9667,14959.0,(30- 10),23970
-11152.2,0.977333,89170.3,-2210.45,0.9619,14998.7,(30- 10- 10),24080
-8268.08,0.980567,89012.0,-1721.5,0.966,14972.9,(30- 20),24380
-9490.54,0.981017,88918.6,-2465.57,0.9616,15006.4,(30- 20- 10),24490
-9734.52,0.981067,88935.5,-2384.58,0.9636,14985.6,(30- 20- 20),24800
-6954.09,0.98465,88768.3,-1573.99,0.9689,14944.2,(30- 30),24790
-9909.13,0.981483,88914.3,-2215.22,0.9642,14986.7,(30- 30- 10),24900
-11109.4,0.97865,89060.7,-2236.13,0.9628,14983.5,(30- 30- 20),25310
-8157.36,0.983717,88783.2,-1870.84,0.9675,14949.1,(30- 30- 30),25720
-4240.24,0.988817,88605.2,-1080.0,0.9743,14906.4,(50-),39760
-5804.04,0.986367,88657.0,-1465.01,0.9707,14929.2,(50- 10),39870
-8128.62,0.982367,88851.2,-1882.44,0.9666,14962.8,(50- 10- 10),39980
-4673.86,0.989217,88479.1,-1250.68,0.9742,14896.1,(50- 20),40480
-7383.05,0.9848,88702.9,-1861.42,0.9685,14936.3,(50- 20- 10),40590
-5270.31,0.988317,88483.6,-1337.69,0.9743,14892.6,(50- 20- 20),40900
-5347.77,0.986117,88639.9,-1270.41,0.972,14907.4,(50- 30),41090
-5315.35,0.987283,88533.9,-1489.55,0.9709,14911.3,(50- 30- 10),41200
-6075.23,0.986833,88562.5,-1550.3,0.9728,14900.4,(50- 30- 20),41610
-7701.68,0.983117,88786.1,-1723.16,0.9707,14919.2,(50- 30- 30),42020
-4165.47,0.98935,88471.5,-1190.57,0.9738,14890.4,(50- 50),42310
-6589.33,0.984683,88703.7,-1602.4,0.9702,14921.1,(50- 50- 10),42420
