log_prob_train, error_train, accuracy_train, error_test, accuracy_test, log_prob_test, dimensions, parameters
-inf,0.924617,93698.9,-7456.13,0.9255,15601.8,(10-),7960
-inf,0.928033,93650.0,-inf,0.9294,15548.9,(10- 10),8070
-inf,0.92725,93697.9,-9187.2,0.9283,15589.7,(10- 10- 10),8180
-25769.1,0.957233,91604.7,-4239.56,0.9543,15287.2,(20-),15910
-35299.9,0.953717,91923.0,-5682.33,0.9509,15311.0,(20- 10),16020
-inf,0.955817,91674.5,-7026.25,0.9518,15313.6,(20- 10- 10),16130
-29305.2,0.961683,91321.3,-4448.78,0.9592,15235.6,(20- 20),16330
-inf,0.958117,91608.6,-6742.2,0.9531,15287.7,(20- 20- 10),16440
-34006.2,0.952583,92019.6,-inf,0.9522,15333.7,(20- 20- 20),16750
-17477.4,0.966983,90772.9,-2913.04,0.9649,15148.9,(30-),23860
-inf,0.968883,90617.5,-4005.07,0.9655,15140.6,(30- 10),23970
-inf,0.963017,91167.2,-inf,0.9593,15211.5,(30- 10- 10),24080
-inf,0.9705,90624.4,-4328.61,0.9659,15148.9,(30- 20),24380
-inf,0.966,91044.5,-4755.5,0.9637,15190.3,(30- 20- 10),24490
-inf,0.965083,90983.9,-4996.92,0.9644,15189.5,(30- 20- 20),24800
-inf,0.97115,90534.0,-3732.16,0.9684,15121.4,(30- 30),24790
-inf,0.970117,90604.2,-4802.63,0.9671,15109.2,(30- 30- 10),24900
-inf,0.96725,90781.3,-4570.05,0.9647,15153.7,(30- 30- 20),25310
-inf,0.96775,90820.9,-6400.43,0.9607,15172.7,(30- 30- 30),25720
-13350.9,0.975717,90152.4,-2396.95,0.9705,15069.5,(50-),39760
-inf,0.975133,90221.7,-3096.59,0.9709,15077.5,(50- 10),39870
-inf,0.9711,90467.5,-inf,0.9669,15097.7,(50- 10- 10),39980
-inf,0.97475,90290.6,-2795.32,0.9707,15070.4,(50- 20),40480
-inf,0.972483,90448.0,-4612.83,0.9673,15119.4,(50- 20- 10),40590
-inf,0.975733,90308.5,-4979.34,0.9704,15088.2,(50- 20- 20),40900
-17825.9,0.977133,90049.4,-3009.85,0.9747,15030.3,(50- 30),41090
-inf,0.889017,95253.2,-inf,0.8863,15905.2,(50- 30- 10),41200
-inf,0.97615,90020.3,-inf,0.9719,15057.4,(50- 30- 20),41610
-inf,0.97245,90435.8,-4788.29,0.9694,15111.6,(50- 30- 30),42020
-18238.7,0.975417,90155.3,-3135.86,0.9706,15083.7,(50- 50),42310
-inf,0.973967,90331.6,-inf,0.9696,15073.5,(50- 50- 10),42420
-inf,0.9745,90211.3,-4389.73,0.9713,15055.6,(50- 50- 20),43030
-inf,0.974817,90250.5,-4501.64,0.9713,15091.4,(50- 50- 30),43640
-inf,0.974567,90312.3,-inf,0.9704,15083.3,(50- 50- 50),44860
-inf,0.98555,89357.9,-2385.11,0.9796,14975.5,(100-),79510
-inf,0.981933,89665.7,-3138.15,0.9765,15004.6,(100- 10),79620
-inf,0.978417,90017.5,-inf,0.9714,15065.6,(100- 10- 10),79730
-inf,0.980133,89875.5,-2968.08,0.9721,15032.3,(100- 20),80730
-inf,0.9783,90008.3,-4072.38,0.9734,15069.1,(100- 20- 10),80840
-inf,0.977383,89953.8,-3758.72,0.9726,15048.6,(100- 20- 20),81150
-inf,0.979883,89788.2,-3633.86,0.9736,15018.6,(100- 30),81840
-inf,0.979017,89843.9,-3461.68,0.9752,15008.1,(100- 30- 10),81950
-inf,0.979383,89864.2,-inf,0.973,15016.9,(100- 30- 20),82360
-inf,0.975833,90235.3,-4068.91,0.9709,15078.1,(100- 30- 30),82770
-inf,0.9823,89614.4,-3769.13,0.9761,15000.1,(100- 50),84060
-inf,0.978983,89860.5,-inf,0.9745,14987.7,(100- 50- 10),84170
-inf,0.978133,90064.7,-3971.41,0.9744,15063.9,(100- 50- 20),84780
-inf,0.97795,89974.2,-inf,0.9746,15037.8,(100- 50- 30),85390
-inf,0.978333,89902.3,-inf,0.9713,15033.4,(100- 50- 50),86610
-inf,0.981583,89633.0,-3583.01,0.9749,15003.9,(100- 100),89610
-inf,0.982867,89509.1,-inf,0.9759,14987.5,(100- 100- 10),89720
-inf,0.978483,89977.9,-4176.4,0.9719,15034.8,(100- 100- 20),90830
-inf,0.9816,89851.8,-inf,0.9768,15020.3,(100- 100- 30),91940
-inf,0.974817,90162.3,-inf,0.9698,15029.2,(100- 100- 50),94160
-inf,0.9733,90349.3,-inf,0.9709,15072.0,(100- 100- 100),99710
-11622.1,0.985183,89420.3,-2268.58,0.9796,14963.1,(200-),159010
-inf,0.981083,89714.8,-inf,0.9749,15002.5,(200- 10),159120
-inf,0.886017,95131.3,-inf,0.8802,15908.2,(200- 10- 10),159230
-inf,0.981983,89572.4,-3105.72,0.976,14986.6,(200- 20),161230
-inf,0.98005,89753.6,-inf,0.9748,15026.3,(200- 20- 10),161340
-inf,0.980583,89761.8,-inf,0.9755,14996.0,(200- 20- 20),161650
-inf,0.979283,89891.0,-3580.31,0.9734,15027.4,(200- 30),163340
-inf,0.97955,89907.0,-inf,0.9736,15035.0,(200- 30- 10),163450
-inf,0.88805,95018.7,-inf,0.8805,15908.1,(200- 30- 20),163860
-inf,0.9774,90276.3,-4592.98,0.9708,15119.0,(200- 30- 30),164270
-inf,0.980917,89812.5,-3669.56,0.9741,14992.1,(200- 50),167560
-inf,0.980983,89692.9,-inf,0.9744,15003.7,(200- 50- 10),167670
-inf,0.982883,89591.4,-inf,0.9772,14975.3,(200- 50- 20),168280
-inf,0.973567,90436.3,-inf,0.9696,15119.3,(200- 50- 30),168890
-inf,0.97725,90052.4,-inf,0.9709,15055.7,(200- 50- 50),170110
-inf,0.982933,89590.7,-inf,0.9756,14988.0,(200- 100),178110
-inf,0.97645,90102.2,-4385.77,0.9727,15045.7,(200- 100- 10),178220
-inf,0.97835,89922.1,-inf,0.9754,15004.7,(200- 100- 20),179330
-inf,0.9724,90398.5,-inf,0.9704,15103.6,(200- 100- 30),180440
-inf,0.97755,90163.0,-inf,0.9712,15103.9,(200- 100- 50),182660
-inf,0.9769,90158.4,-inf,0.9719,15038.7,(200- 100- 100),188210
