log_prob_train, error_train, accuracy_train, log_prob_val, error_val, accuracy_val, log_prob_test, error_test, accuracy_test, dimensions, parameters
-75011.3,0.104338,0.971071,-15976.1,0.125905,0.964571,-15198.1,0.12136,0.9658,(300-),240678
-73549.8,0.0462101,0.98604,-15702.7,0.0730856,0.977238,-14948.2,0.07329,0.9771,(300- 300),331578
-72911.8,0.0206675,0.99495,-15601.8,0.0548306,0.982762,-14862.1,0.0581083,0.981,(300- 300- 300),422478
-72964.5,0.0236059,0.993717,-15620.2,0.0624018,0.981333,-14865.2,0.0577664,0.9823,(300- 300- 300- 300),513378
-74104.3,0.0669535,0.980929,-15813.2,0.0947452,0.972381,-15044.3,0.0925721,0.9723,(500-),400078
-73322.1,0.0369203,0.989354,-15672.5,0.0684006,0.978857,-14925.7,0.0699343,0.978,(500- 300),548978
-72724.7,0.0140669,0.996788,-15586.6,0.0543497,0.982571,-14837.7,0.0529143,0.9834,(500- 300- 300),639878
-72632.4,0.0108316,0.997515,-15572.5,0.052311,0.984095,-14822.3,0.0501725,0.9846,(500- 300- 300- 300),730778
-72733.3,0.0140618,0.996545,-15585.0,0.0538658,0.983619,-14831.5,0.0517647,0.9844,(500- 500),651578
-72613.0,0.00989243,0.997717,-15561.8,0.0495117,0.984571,-14818.9,0.0484962,0.9849,(500- 500- 300),800478
-72545.4,0.00767629,0.998202,-15536.0,0.0455645,0.986857,-14805.4,0.0491654,0.985,(500- 500- 300- 300),891378
-72666.6,0.0123381,0.996747,-15565.6,0.052417,0.984571,-14821.9,0.0505458,0.9844,(500- 500- 500),903078
-72591.3,0.00973756,0.997657,-15551.2,0.0492952,0.984286,-14812.7,0.0478898,0.9838,(500- 500- 500- 300),1051978
-72531.6,0.00755182,0.998182,-15557.0,0.0526949,0.983905,-14812.3,0.0516433,0.9837,(500- 500- 500- 500),1154578
-73741.4,0.0540511,0.984263,-15745.5,0.0863722,0.974571,-14982.5,0.0838731,0.9759,(1000-),798578
-73042.3,0.0260497,0.993333,-15645.4,0.0642223,0.978857,-14890.7,0.0638895,0.9805,(1000- 300),1092478
-72568.2,0.00890559,0.997838,-15556.9,0.0505634,0.985619,-14811.5,0.0501882,0.9849,(1000- 300- 300),1183378
-72518.9,0.00764755,0.998303,-15548.1,0.0510664,0.985048,-14811.2,0.0512504,0.985,(1000- 300- 300- 300),1274278
-72709.7,0.0143151,0.996707,-15584.4,0.0538984,0.982667,-14836.0,0.054,0.9835,(1000- 500),1295078
-72512.9,0.00710769,0.998323,-15544.5,0.0484918,0.985429,-14810.4,0.0499461,0.9839,(1000- 500- 300),1443978
-72520.0,0.00722301,0.998485,-15548.3,0.0494861,0.985048,-14803.9,0.0486726,0.9842,(1000- 500- 300- 300),1534878
-72545.5,0.00857387,0.997919,-15551.9,0.0510748,0.985048,-14807.8,0.0504211,0.9849,(1000- 500- 500),1546578
-72492.7,0.00596135,0.998626,-15548.5,0.0480142,0.984,-14792.6,0.0472133,0.9867,(1000- 500- 500- 300),1695478
-72507.1,0.00649092,0.998424,-15547.0,0.0507924,0.985048,-14799.4,0.0479642,0.9858,(1000- 500- 500- 500),1798078
-72630.3,0.0119042,0.997192,-15575.5,0.0541943,0.982476,-14825.7,0.0520505,0.9835,(1000- 1000),1801578
-72565.0,0.00805979,0.998303,-15559.3,0.0503988,0.984667,-14816.9,0.0493128,0.985,(1000- 1000- 300),2095478
-72517.0,0.00707759,0.998444,-15543.1,0.0474046,0.985143,-14803.6,0.0484129,0.9842,(1000- 1000- 300- 300),2186378
-72513.1,0.00683272,0.998444,-15554.0,0.0505177,0.98419,-14798.8,0.0477529,0.986,(1000- 1000- 500),2298078
-72471.4,0.00575619,0.998687,-15528.7,0.0488045,0.986476,-14793.6,0.0489414,0.9868,(1000- 1000- 500- 300),2446978
-72489.7,0.0073875,0.998566,-15545.7,0.0521217,0.984667,-14785.9,0.0469998,0.9859,(1000- 1000- 500- 500),2549578
